Quantity,Material ID,PO Number,Employee,Heat,Date,Initial Location
4945,MMC0000741,PO-066510,6229,48991301,02/26/2026,V-E0-03
4570,MMC0000741,PO-066510,6229,48991301,02/26/2026,V-E0-03
4815,MMC0000741,PO-066510,6229,48991301,02/26/2026,V-E0-03
5030,MMC0000741,PO-066510,6229,48991301,02/26/2026,V-E0-03
5175,MMC0000741,PO-066510,6229,48991301,02/26/2026,V-E0-03
5175,MMC0000741,PO-066510,6229,48991301,02/26/2026,V-E0-03
4815,MMC0000741,PO-066510,6229,48991301,02/26/2026,V-E0-03
4570,MMC0000741,PO-066510,6229,48991301,02/26/2026,V-E0-03
7425,MMC0000410,PO-067323,6229,462731,02/26/2026,RECV
7440,MMC0000410,PO-067323,6229,462731,02/26/2026,RECV
3700,MMC0000410,PO-067323,6229,462731,02/26/2026,RECV
3920,MMC0000410,PO-067323,6229,462731,02/26/2026,RECV
7840,MMC0000410,PO-067323,6229,462731,02/26/2026,RECV
7855,MMC0000410,PO-067323,6229,462731,02/26/2026,RECV
5130,MMC0000410,PO-067323,6229,12536810,02/26/2026,RECV
3660,MMC0001153,PO-067862,6229,329712,02/26/2026,V-E0-05
3665,MMC0001153,PO-067862,6229,329712,02/26/2026,V-E0-05
3640,MMC0001153,PO-067862,6229,329712,02/26/2026,V-E0-05
3785,MMC0001153,PO-067862,6229,329712,02/26/2026,V-E0-05
7530,MMC0000743,PO-066914,6229,335576,02/25/2026,RECV
7090,MMC0000743,PO-066914,6229,335576,02/25/2026,RECV
7260,MMC0000743,PO-066914,6229,335021,02/25/2026,RECV
7090,MMC0000743,PO-066914,6229,335571,02/25/2026,RECV
6880,MMC0000416,PO-067705,6229,R06021,02/25/2026,RECV
6820,MMC0000416,PO-067705,6229,R06021,02/25/2026,RECV
3360,MMC0000416,PO-067705,6229,R06021,02/25/2026,RECV
5528,MMC0000659,PO-067737,6229,33606,02/25/2026,V-B0-30
3854,MMC0000659,PO-067737,6229,33606,02/25/2026,V-B0-30
4042,MMC0000659,PO-067737,6229,33606,02/25/2026,V-B0-30
4062,MMC0000659,PO-067737,6229,33606,02/25/2026,V-B0-30
3714,MMC0000659,PO-067737,6229,33606,02/25/2026,V-B0-30
4000,MMC0000659,PO-067737,6229,33606,02/25/2026,V-B0-30
3924,MMC0000659,PO-067737,6229,33606,02/25/2026,V-B0-30
3688,MMC0000659,PO-067737,6229,33606,02/25/2026,V-B0-30
3682,MMC0000659,PO-067737,6229,33606,02/25/2026,V-B0-30
940,MMC0000592,PO-067746,6229,821P05660,02/25/2026,RECV
820,MMC0000591,PO-067746,6229,832P31720,02/25/2026,RECV
1380,MMC0000530,PO-067746,6229,832P42410,02/25/2026,RECV
3665,MMC0001153,PO-067862,6229,329712,02/25/2026,RECV
3615,MMC0001153,PO-067862,6229,329712,02/25/2026,RECV
3760,MMC0001153,PO-067862,6229,329712,02/25/2026,RECV
3790,MMC0001153,PO-067862,6229,329712,02/25/2026,RECV
3785,MMC0001153,PO-067862,6229,329712,02/25/2026,RECV
3780,MMC0001153,PO-067862,6229,329712,02/25/2026,RECV
3740,MMC0001153,PO-067862,6229,329712,02/25/2026,RECV
3711,MMC0001153,PO-067862,6229,329712,02/25/2026,RECV
2980,MMC0000072,PO-067879,6229,821P05650,02/25/2026,RECV
3000,MMC0000429,PO-067929,6229,559437,02/25/2026,RECV
3320,MMC0000414,PO-067929,6229,833P71430,02/25/2026,RECV
4080,MMC0000414,PO-067929,6229,812S31130,02/25/2026,RECV
1700,MMC0000933,PO-067958,6229,556108,02/25/2026,RECV
1360,MMC0000933,PO-067958,6229,556108,02/25/2026,RECV
4650,MMC0000742,PO-068059,6229,335576,02/25/2026,RECV
4630,MMC0000742,PO-068059,6229,335576,02/25/2026,RECV
4650,MMC0000742,PO-068059,6229,335576,02/25/2026,RECV
3372,MMF0005010,PO-068061,6229,842N32720,02/25/2026,T-00
4830,MMC0001106,PO-068061,6229,334378,02/25/2026,RECV
2842,MMC0001132,PO-068100,6229,,02/25/2026,RECV
5540,MMC0000719,PO-068101,6229,333872,02/25/2026,RECV
2770,MMC0000719,PO-068101,6229,333872,02/25/2026,RECV
5560,MMC0000719,PO-068101,6229,333872,02/25/2026,RECV
840,MMC0000107,PO-068101,6229,558973,02/25/2026,RECV
2160,MMC0001114,PO-068123,6229,334378,02/25/2026,RECV
7930,MMC0001000,PO-068171,6524,565656,02/25/2026,DD-H0-00
8034,MMC0001000,PO-068171,6524,565344,02/25/2026,DD-H0-00
8012,MMC0001000,PO-068171,6524,565342,02/25/2026,DD-H0-00
8014,MMC0001000,PO-068171,6524,565342,02/25/2026,DD-H0-00
8024,MMC0001000,PO-068171,6524,565338,02/25/2026,DD-H0-00
4176,MMC0000366,PO-064489B,6229,25T20912,02/24/2026,V-E0-02
7200,MMC0000366,PO-064489B,6229,25T20909,02/24/2026,V-E0-02
7196,MMC0000366,PO-064489B,6229,25T20909,02/24/2026,V-E0-02
7190,MMC0000366,PO-064489B,6229,25T20909,02/24/2026,V-E0-02
7185,MMC0000366,PO-064489B,6229,25T20909,02/24/2026,V-E0-02
4290,MMC0000388,PO-066865,6229,42603010,02/24/2026,RECV
4350,MMC0000388,PO-066865,6229,42603010,02/24/2026,RECV
4360,MMC0000388,PO-066865,6229,42603010,02/24/2026,RECV
4330,MMC0000388,PO-066865,6229,42603010,02/24/2026,RECV
7280,MMC0000743,PO-066914,6229,335021,02/24/2026,RECV
2646,MMF0005801,PO-067232,6229,Y250313E10B,02/24/2026,T-00
3024,MMF0005801,PO-067232,6229,Y250313E10B,02/24/2026,T-00
1500,963094,PO-067273,6229,192357,02/24/2026,RECV DESK
1500,963094,PO-067273,6229,192357,02/24/2026,RECV DESK
1000,963094,PO-067273,6229,192357,02/24/2026,RECV DESK
10000,MMC0000761,PO-067338,6229,335097,02/24/2026,RECV
3718,MMC0000659,PO-067737,6229,33552,02/24/2026,RECV
3172,MMC0000659,PO-067737,6229,33552,02/24/2026,RECV
3906,MMC0000659,PO-067737,6229,33552,02/24/2026,RECV
3986,MMC0000659,PO-067737,6229,33605,02/24/2026,RECV
3874,MMC0000659,PO-067737,6229,33636,02/24/2026,RECV
3932,MMC0000659,PO-067737,6229,33636,02/24/2026,RECV
3698,MMC0000659,PO-067737,6229,33552,02/24/2026,RECV
4180,MMC0000659,PO-067737,6229,33552,02/24/2026,RECV
3891,MMC0000659,PO-067737,6229,33553,02/24/2026,RECV
3836,MMC0000659,PO-067737,6229,33553,02/24/2026,RECV
15550,MMC0001103,PO-067861,6229,1510088,02/24/2026,RECV
