Trans ID	Date	Time	Type	Qty	Warehouse	Location	Reference	User
3778925	9/2/2026	08:00	I	173	002	WC	WO: WO-073820	MLAUR
3777442	9/1/2026	10:52	O	3960	002	WC	WO: WO-073820	SHOP2
3776920	9/1/2026	06:55	O	660	002	WC	WO: WO-073820	SHOP2
3776658	9/1/2026	05:49	I	4447	002	WC		TLOHSE
3776657	9/1/2026	05:49	O	4447	002	T-00		TLOHSE
3763971	8/21/2026	08:01	O	634	002	WC		MLAUR
3763567	8/21/2026	01:48	I	2286	002	S-00		DSANC
3763566	8/21/2026	01:48	O	2286	002	WC		DSANC
3763240	8/20/2026	19:05	I	2920	002	WC		TYANG
3763239	8/20/2026	19:05	O	2920	002	S-00		TYANG
3760064	8/19/2026	08:08	I	520	002	S-00		MLAUR
3760063	8/19/2026	08:08	O	520	002	WC		MLAUR
3760060	8/19/2026	08:07	O	6.16	002	WC	WO: WO-073526	MLAUR
3759794	8/19/2026	06:33	O	115.84	002	WC	WO: WO-073526	ABEEM
3759585	8/19/2026	03:05	I	2920	002	S-00		TTELE
3759584	8/19/2026	03:05	O	2920	002	WC		TTELE
3759582	8/19/2026	02:58	I	4445	002	WC		TTELE
3759581	8/19/2026	02:58	O	4445	002	S-00		TTELE
3759577	8/19/2026	02:50	O	3677.92	002	WC	WO: WO-073526	SHOP2
3759486	8/19/2026	00:14	I	4447	002	WC		RKING
3759485	8/19/2026	00:14	O	4447	002	S-00		RKING
3759464	8/18/2026	23:21	O	3562.08	002	WC	WO: WO-073526	SHOP2
3759295	8/18/2026	20:31	I	1910	002	WC		TYANG
3759294	8/18/2026	20:31	O	1910	002	T-00		TYANG
3747131	8/10/2026	09:37	I	269	002	WC		MLAUR
3747130	8/10/2026	09:37	O	269	002	S-00		MLAUR
3741551	8/5/2026	08:41	O	269	002	WC	WO: WO-073063	ABEEM
3741537	8/5/2026	08:36	I	210.2	002	WC	WO: WO-073063	MLAUR
3741535	8/5/2026	08:34	I	561	002	WC		MLAUR
3741534	8/5/2026	08:34	O	561	002	T-00		MLAUR
3741533	8/5/2026	08:33	I	1018	002	S-00		MLAUR
3741532	8/5/2026	08:33	O	1018	002	T-00		MLAUR
3740899	8/5/2026	04:34	O	3116.4	002	WC	WO: WO-073063	SHOP2
3740883	8/5/2026	03:18	I	1401	002	WC		RKING
3740882	8/5/2026	03:18	O	1401	002	S-00		RKING
3740765	8/4/2026	23:45	I	1524	002	WC		DSANC
3740764	8/4/2026	23:45	O	1524	002	S-00		DSANC
3740746	8/4/2026	23:09	O	940.8	002	WC	WO: WO-073063	SHOP2
3739899	8/4/2026	09:41	I	4447	002	T-00		TLOHSE
3739898	8/4/2026	09:41	O	4447	002	WC		TLOHSE
3739792	8/4/2026	08:06	O	4620	002	WC	WO: WO-073062	SHOP2
3739651	8/4/2026	06:41	O	8360	002	WC	WO: WO-073062	SHOP2
3739597	8/4/2026	06:21	I	4447	002	WC		DSANC
3739596	8/4/2026	06:21	O	4447	002	T-00		DSANC
3739593	8/4/2026	06:21	I	4447	002	WC		DSANC
3739592	8/4/2026	06:21	O	4447	002	T-00		DSANC
3739461	8/4/2026	03:24	I	4447	002	WC		DSANC
3739460	8/4/2026	03:24	O	4447	002	T-00		DSANC
3739392	8/4/2026	00:49	I	4447	002	WC		DSANC
3739391	8/4/2026	00:49	O	4447	002	T-00		DSANC
3736766	7/31/2026	08:14	O	5.5	002	WC	WO: WO-072721	MLAUR
3736765	7/31/2026	08:12	I	0.5	002	WC		MLAUR
3736764	7/31/2026	08:12	O	0.5	002	T-00		MLAUR
3736761	7/31/2026	08:12	I	1005.5	002	WC		MLAUR
3736760	7/31/2026	08:12	O	1005.5	002	T-00		MLAUR
3736754	7/31/2026	08:09	I	17788	002	S-00		MLAUR
3736753	7/31/2026	08:09	O	17788	002	T-00		MLAUR
3735272	7/30/2026	06:50	O	1000.5	002	WC	WO: WO-072721	ABEEM
3733649	7/29/2026	08:09	I	2585	002	T-00		MLAUR
3733648	7/29/2026	08:09	O	2585	002	WC		MLAUR
3733645	7/29/2026	08:08	I	48	002	WC		MLAUR
3733644	7/29/2026	08:08	O	48	002	NCM		MLAUR
3732864	7/28/2026	19:18	I	1910	002	T-00		CALVA
3732863	7/28/2026	19:18	O	1910	002	WC		CALVA
3732440	7/28/2026	12:52	I	4447	002	WC		MLEDV
3732439	7/28/2026	12:52	O	4447	002	T-00		MLEDV
3728504	7/24/2026	12:05	I	40023	002	T-00	PO: PO-068922	JKOLL
3727792	7/24/2026	05:48	I	440	002	WC	WO: WO-072864	MLAUR
3726624	7/23/2026	07:53	O	440	002	WC	WO: WO-072864	ABEEM
3726616	7/23/2026	07:49	I	1524	002	S-00		MLAUR
3726615	7/23/2026	07:49	O	1524	002	WC		MLAUR
3726614	7/23/2026	07:48	I	3051	002	WC		MLAUR
3726351	7/23/2026	05:47	O	8140	002	WC	WO: WO-072864	SHOP2
3726257	7/23/2026	02:47	I	4447	002	WC		TTELE
3726256	7/23/2026	02:47	O	4447	002	S-00		TTELE
3726255	7/23/2026	02:45	I	1401	002	S-00		RDREW
3726254	7/23/2026	02:45	O	1401	002	WC		RDREW
3726232	7/23/2026	00:45	O	6600	002	WC	WO: WO-072864	SHOP2
3726227	7/23/2026	00:19	I	4447	002	WC		TTELE
3726226	7/23/2026	00:19	O	4447	002	S-00		TTELE
3726058	7/22/2026	21:17	I	4447	002	WC		CALVA
3726057	7/22/2026	21:17	O	4447	002	S-00		CALVA
3726055	7/22/2026	21:17	I	1273	002	WC		CALVA
3726054	7/22/2026	21:17	O	1273	002	S-00		CALVA
3724968	7/22/2026	08:17	O	637	002	WC	WO: WO-072721	MLAUR
3724012	7/21/2026	16:44	I	1273	002	S-00		TYANG
3724011	7/21/2026	16:44	O	1273	002	WC		TYANG
3723951	7/21/2026	15:42	I	1910	002	WC		CALVA
3723950	7/21/2026	15:42	O	1910	002	S-00		CALVA
3716127	7/15/2026	07:52	O	453.52	002	WC	WO: WO-072455	MLAUR
3714328	7/14/2026	07:05	I	3524	002	WC		MLAUR
3714327	7/14/2026	07:05	O	3524	002	S-00		MLAUR
3713193	7/13/2026	11:44	O	506.8	002	WC	WO: WO-072456	ABEEM
3712901	7/13/2026	09:44	O	3055.28	002	WC	WO: WO-072456	SHOP2
3712859	7/13/2026	09:14	I	5434	002	S-00		TLOHSE
3712858	7/13/2026	09:14	O	5434	002	WC		TLOHSE
3712566	7/13/2026	07:05	I	4447	002	WC		MLEDV
3712565	7/13/2026	07:05	O	4447	002	S-00		MLEDV
3712541	7/13/2026	06:52	O	2968.4	002	WC	WO: WO-072456	SHOP2
3712399	7/13/2026	03:18	I	4447	002	WC		DSANC
3712398	7/13/2026	03:18	O	4447	002	S-00		DSANC
3711226	7/10/2026	09:11	I	737.7	002	WC	WO: WO-072455	MLAUR
3711223	7/10/2026	09:10	I	737.7	002	WC	WO: WO-072469	MLAUR
3711089	7/10/2026	07:54	O	107.8	002	WC	WO: WO-072455	ABEEM
3710822	7/10/2026	00:56	O	127.4	002	WC	WO: WO-072455	SHOP2
3710273	7/9/2026	14:48	O	7438.2	002	WC	WO: WO-072455	SHOP2
3710157	7/9/2026	12:58	I	4447	002	WC		MSAMZ
3710156	7/9/2026	12:58	O	4447	002	S-00		MSAMZ
3709964	7/9/2026	10:30	O	5940	002	WC	WO: WO-072469	SHOP2
3709531	7/9/2026	06:53	O	1166.2	002	WC	WO: WO-072455	SHOP2
3709529	7/9/2026	06:52	O	3300	002	WC	WO: WO-072469	SHOP2
3709465	7/9/2026	06:34	I	4447	002	WC		DSANC
3709464	7/9/2026	06:34	O	4447	002	S-00		DSANC
3709463	7/9/2026	06:34	I	4447	002	WC		DSANC
3709462	7/9/2026	06:34	O	4447	002	S-00		DSANC
3709355	7/9/2026	02:07	O	880	002	WC	WO: WO-072469	SHOP2
3709354	7/9/2026	02:06	O	303.8	002	WC	WO: WO-072455	SHOP2
3709309	7/8/2026	23:54	I	4447	002	WC		DSANC
3709308	7/8/2026	23:54	O	4447	002	S-00		DSANC
3706965	7/7/2026	10:10	I	40023	002	S-00	PO: PO-069875	JKOLL
